Gene stable ID
ENSVPAG00000005659
ENSVPAG00000015423
ENSVPAG00000015423
ENSVPAG00000015423
ENSVPAG00000001968
ENSVPAG00000001968
ENSVPAG00000001308
ENSVPAG00000001562
ENSVPAG00000001562
ENSVPAG00000006160
ENSVPAG00000006160
ENSVPAG00000009008
ENSVPAG00000006568
ENSVPAG00000006568
ENSVPAG00000006568
ENSVPAG00000002073
ENSVPAG00000012383
ENSVPAG00000012292
ENSVPAG00000008519
ENSVPAG00000005598
ENSVPAG00000002912
ENSVPAG00000009944
ENSVPAG00000010953
ENSVPAG00000010953
ENSVPAG00000010953
ENSVPAG00000010212
ENSVPAG00000009513
ENSVPAG00000009513
ENSVPAG00000008680
ENSVPAG00000009702
ENSVPAG00000009702
ENSVPAG00000011451
ENSVPAG00000011451
ENSVPAG00000011451
ENSVPAG00000003101
ENSVPAG00000003101
ENSVPAG00000003030
ENSVPAG00000002522
